The three things every good orgy has,"scented oils|a non-disclosure agreement|disgraced politician 
a secret entrance|ornate masks|sense of whimsy 
a teddy bear costume|a tub of Skittles|a Jonas Brother",no,yes
The three things you must do to survive a zombie apocalypse,"find a safe place|help strangers|learn humanity is real monster 
hunker down|play video games|hope this all blows over 
dress like sexy zombie|get zombie's attention|hit with cartoon mallet",no,no
The only three things that can bring true happiness,"money|money|money 
true love|a puppy|TikTok videos 
a monkey|monkey on roller skates|farting monkey on skates",no,no
The three worst Halloween costumes to make “sexy”,"sexy pimple|sexy earthworm|sexy earwax 
sexy lobster|sexy constipation|sexy spoiled milk 
sexy cyst|sexy ingrown toenail|sexy pink eye",no,yes
The three most painful ways a squirrel can hurt you,"bite your ears|scratch your eyes|ruin your credit 
chew your internet cable|chew your electricity cable|poop in your pillow 
throw acorns at you|throw garbage at you|throw insults at you",no,no
"Like anger or denial, the three stages of grief that weren’t mentioned by Kübler-Ross","cake eating|ice cream eating|ice cream cake eating 
gambling|mountain climbing|yelling at video games 
blaming yourself|realizing you are to blame|destroying evidence",no,no
The three things you can say to defuse a tense hostage situation,"but is this your card?|No really. Look|I'll be here all week 
knock knock|interrupting cow|mooo! 
you like Frasier?|I think you'd like Frasier|Sending in DVDs of Frasier",no,no
The three things you need to do to be a good dog... such a good dog,"sit up|roll over|solve crimes 
fetch a stick|fetch a ball|stop trying 2 make fetch happen 
sit|stay|manage my retirement fund",no,no
The three things on The Almighty’s to-do list today,"think about redesigning birds|stop that asteroid|chill in the afternoon 
get some coffee|check social media|go back to bed 
mow the lawn|take surf lessons|meet the gang for tacos",no,no
The 3 R’s of a successful fast food franchise,"relish|ranch|red tomato paste 
rich flavor|rushed service|random hugs 
reheat the fries|refill the ball pit|reuse the grease",no,no
Three commandments that didn’t make the cut,"don't hate|be cool|wash hands 
no more clothes|no more money|lots more chicken nuggets 
Taco Tuesday is holy|thou shalt not be creepy|thou shalt brag about marathons",no,no
The three steps to a successful breakup,"meet in public place|make eye contact|disappear in smoke bomb 
be honest|not that honest|just say you're moving 
tell them it's you|not them|but it could be them",no,no
The three things Batman insists on doing every day,"kicking butt|taking names|adopting young wards 
working out|solving crime|struggling with latex 
brooding|scowling|repeat",no,no
Three unnecessarily explicit names for cocktails,"super buttery nipple|the nude lady|the ""I Want Sex"" and Tonic 
butts and soda|boobs-ahol|harvey wallbanger part II 
sex and soda|erotic beer|the wienertini",no,yes
The three things you MUST do to survive a bear attack,"stop|drop|get up and run 
hide in a cave|realize it's HIS cave|find new cave 
dress as sexy bear|marry bear|escape on 15th anniversary",no,no
A baby’s three first words that would raise much concern,"I|remember|everything 
bring|me|ham 
You'll|all|pay",no,no
Three toppings Baskin-Robbins will never offer,"croutons|shaved carrots|black olives 
hot fidge|churries|spronkles 
motor oil|spark plugs|a functional hemi engine",no,no
The three most annoying habits in the world,"lip smacking|knuckle cracking|finger licking 
humming|humming loudly|humming loudly while operating 
spitting|nose picking|playing banjo",no,no
The three steps to castrating a horse,"read books|ask experts|eat a light breakfast 
greet horse|apologize|snip 
put on gloves|shave area|ask yourself how you got here",no,yes
The three hardest things about being Mario,"nightmares about Bowser|rash from shooting fireballs|bad credit 
constantly itchy mustache|all that jumping bad for knees|can't focus on plumbing 
remembers every time he dies|not using his podiatry degree|can't start singing career",no,no
The three nicknames every frat brother tries to give himself,"Crosby|Stills|Nash 
Big Dog|Cool Cat|Mean Rabbit 
Ham Bone|Silly String|Petunia",yes,no
Three words that would make effective horror movie titles,"Bugs|Snakes|Life 
Blood|Guts|Improv 
Stab|Shriek|Marriage",no,no
Three theme parks more dangerous than Jurassic Park,"Murder Land|Punching Park|Broken Glass Garden 
Jurassic World|Jurassic Universe|Jurassic Reality 
Lava Land|Lightningville|Car Crash Canyon",no,no
The three things Canada is the world leader in,"beer|politeness|Torontos 
moose|caribou|deer, in general 
fir trees|Ryan Reynolds|that's it?",no,no
The three things you’d immediately do if you inherited one billion dollars,"bring back dinosaurs|but real small|i mean pocket-sized 
eliminate disease|eliminate hunger|but then buy a roller coaster 
put brain in robot body|conquer world|realize I was happy before :(",no,no
"The three rules of making money are <BLANK>, <BLANK>, <BLANK>","No shirt|no shoes|no service 
lather|rinse|repeat 
have good idea|market it|steal better idea",no,no
"Three steps essential to any good exercise routine are <BLANK>, <BLANK>, and <BLANK>","Hydration|Perspiration|wiping down bench for once 
High reps|low weight|tons of energy bars 
blasting the pecs|blasting the quads|a good chiropractor",no,no
Three super-luxury services only available at the finest of hotels,"Mineral water|white noise machines|spooning 
rooftop views|stock assessments|hunting most dangerous game 
tax cuts|continental money laundering|free ""one percenter"" tattoo",no,no
"Let’s be honest: the only things you really need to become a lawyer are <BLANK>, <BLANK>, and <BLANK>","money|money|more money 
time|passion|the last name ""Attorney"" 
thumbs|suspenders|thick, texas accent",no,no
"Allow me to introduce my three toughest henchman: <BLANK>, <BLANK>, and <BLANK>","Knuckles|Punchy|Mean Tweets 
Max the Axe|Henry the Hammer|Lil' Stinker 
Crusher|Grinder|Soft Jazzer",no,no
The three forgotten steps in the Cha-Cha Slide,"slide to the middle|jump 20 times|back flip 
shimmy|shake|Macarena 
lay down|snooze|wake up in distant future",yes,no
"The next three characters they should add to Super Smash Bros. are <BLANK>, <BLANK>, and <BLANK>","The|Pep|Boys 
Sonic|Dr. Eggman|Shirtless Mario 
Godzilla|Mecha-Godzilla|Elmo",no,no
